Date,Total_Tweets
2018/08/01,12869
2018/08/02,11583
2018/08/03,12600
2018/08/04,10888
2018/08/05,10429
2018/08/06,11947
2018/08/07,12577
2018/08/08,11572
2018/08/09,11100
2018/08/10,10534
2018/08/11,9562
2018/08/12,8468
2018/08/13,10911
2018/08/14,11625
2018/08/15,11032
2018/08/16,10612
2018/08/17,10852
2018/08/18,9317
2018/08/19,8761
2018/08/20,10237
2018/08/21,10286
2018/08/22,9174
2018/08/23,9521
2018/08/24,10679
2018/08/25,10429
2018/08/26,9649
2018/08/27,11115
2018/08/28,12131
2018/08/29,13346
2018/08/30,14935
2018/08/31,15383
2018/09/01,10518
2018/09/02,11483
2018/09/03,13320
2018/09/04,13959
2018/09/05,13310
2018/09/06,12656
2018/09/07,11959
2018/09/08,11787
2018/09/09,13013
2018/09/10,14458
2018/09/11,13455
2018/09/12,12563
2018/09/13,13371
2018/09/14,12846
2018/09/15,10321
2018/09/16,10279
2018/09/17,11921
2018/09/18,13557
2018/09/19,12245
2018/09/20,11252
2018/09/21,11849
2018/09/22,10075
2018/09/23,9221
2018/09/24,11121
2018/09/25,10803
2018/09/26,12399
2018/09/27,12058
2018/09/28,10250
2018/09/29,10778
2018/09/30,9840
2018/10/01,11229
2018/10/02,12271
2018/10/03,12321
2018/10/04,12111
2018/10/05,14693
2018/10/06,10697
2018/10/07,8532
2018/10/08,10710
2018/10/09,10318
2018/10/10,10689
2018/10/11,11221
2018/10/12,10146
2018/10/13,8838
2018/10/14,8516
2018/10/15,14303
2018/10/16,14178
2018/10/17,10744
2018/10/18,12042
2018/10/19,9661
2018/10/20,8751
2018/10/21,7883
2018/10/22,9928
2018/10/23,11280
2018/10/24,12042
2018/10/25,10803
2018/10/26,9886
2018/10/27,8654
2018/10/28,8425
2018/10/29,10624
2018/10/30,8707
2018/10/31,8468
2018/11/01,7678
2018/11/02,7999
2018/11/03,6256
2018/11/04,7597
2018/11/05,7488
2018/11/06,7415
2018/11/07,7949
2018/11/08,8729
2018/11/09,8879
2018/11/10,8780
2018/11/11,7069
2018/11/12,10383
2018/11/13,7892
2018/11/14,9446
2018/11/15,7922
2018/11/16,6018
2018/11/17,5891
2018/11/18,4941
2018/11/19,6800
2018/11/20,6639
2018/11/21,6214
2018/11/22,5709
2018/11/23,5971
2018/11/24,5387
2018/11/25,5090
2018/11/26,6607
2018/11/27,6232
2018/11/28,6651
2018/11/29,6296
2018/11/30,5172
2018/12/01,5182
2018/12/02,4054
2018/12/03,5647
2018/12/04,5846
2018/12/05,6799
2018/12/06,null
2018/12/07,7960
2018/12/08,6119
2018/12/09,5542
2018/12/10,5193
2018/12/11,5051
2018/12/12,5114
2018/12/13,5936
2018/12/14,5193
2018/12/15,4054
2018/12/16,4175
2018/12/17,5563
2018/12/18,5622
2018/12/19,6555
2018/12/20,7404
2018/12/21,6817
2018/12/22,5356
2018/12/23,5561
2018/12/24,5624
2018/12/25,5484
2018/12/26,5472
2018/12/27,6689
2018/12/28,5983
2018/12/29,6636
2018/12/30,5866
2018/12/31,4953
2019/01/01,4259
2019/01/02,5770
2019/01/03,5651
2019/01/04,5716
2019/01/05,5306
2019/01/06,4943
2019/01/07,6101
2019/01/08,6291
2019/01/09,5529
2019/01/10,6232
2019/01/11,5170
2019/01/12,4277
2019/01/13,4805
2019/01/14,6104
2019/01/15,6858
2019/01/16,6989
2019/01/17,5989
2019/01/18,5142
2019/01/19,5088
2019/01/20,4623
2019/01/21,4532
2019/01/22,4875
2019/01/23,5182
2019/01/24,5977
2019/01/25,5519
2019/01/26,5476
2019/01/27,4601
2019/01/28,7092
2019/01/29,6104
2019/01/30,6534
2019/01/31,6358
2019/02/01,4182
2019/02/02,4623
2019/02/03,5250
2019/02/04,5596
2019/02/05,4877
2019/02/06,4763
2019/02/07,4724
2019/02/08,4644
2019/02/09,4551
2019/02/10,3650
2019/02/11,4699
2019/02/12,4456
2019/02/13,4972
2019/02/14,4997
2019/02/15,4579
2019/02/16,4190
2019/02/17,4412
2019/02/18,6086
2019/02/19,5261
2019/02/20,4891
2019/02/21,4536
2019/02/22,4460
2019/02/23,4337
2019/02/24,4832
2019/02/25,4930
2019/02/26,5000
2019/02/27,4974
2019/02/28,5382
2019/03/01,5025
2019/03/02,4409
2019/03/03,4186
2019/03/04,4843
2019/03/05,5141
2019/03/06,4923
2019/03/07,4484
2019/03/08,4431
2019/03/09,3751
2019/03/10,3626
2019/03/11,4751
2019/03/12,5027
2019/03/13,4509
2019/03/14,4392
2019/03/15,3875
2019/03/16,3520
2019/03/17,3346
2019/03/18,4349
2019/03/19,3994
2019/03/20,4495
2019/03/21,3953
2019/03/22,3844
2019/03/23,3887
2019/03/24,4063
2019/03/25,4249
2019/03/26,4494
2019/03/27,5019
2019/03/28,5239
2019/03/29,4597
2019/03/30,4592
2019/03/31,4025
2019/04/01,4524
2019/04/02,5067
2019/04/03,5145
2019/04/04,4443
2019/04/05,4036
2019/04/06,4592
2019/04/07,5369
2019/04/08,5941
2019/04/09,4382
2019/04/10,4450
2019/04/11,4765
2019/04/12,4508
2019/04/13,4030
2019/04/14,4302
2019/04/15,4433
2019/04/16,4830
2019/04/17,5906
2019/04/18,5855
2019/04/19,5033
2019/04/20,4939
2019/04/21,5636
2019/04/22,5821
2019/04/23,6310
2019/04/24,6588
2019/04/25,5783
2019/04/26,4559
2019/04/27,4344
2019/04/28,4347
2019/04/29,4426
2019/04/30,5642
2019/05/01,4946
2019/05/02,4366
2019/05/03,4840
2019/05/04,4598
2019/05/05,3989
