,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore,MA_20,MA_20_std,bollinger_up,bollinger_down
2021-01-09 04:59:59.999,2021-01-09 02:00:00,0.17856,0.18193,0.17808,0.18072,114460.2,2021-01-09 02:59:59.999,20669.22386000,118,40238.90000000,7273.41383700,0,0.183805,0.003247757931088393,0.19030051586217678,0.17730948413782321
2021-01-09 05:59:59.999,2021-01-09 03:00:00,0.18072,0.18326,0.18008,0.18285,71013.2,2021-01-09 03:59:59.999,12919.65057400,126,38276.80000000,6984.28234600,0,0.183519,0.0030520190038727064,0.1896230380077454,0.17741496199225457
2021-01-09 06:59:59.999,2021-01-09 04:00:00,0.18287,0.18785,0.18225,0.18613,101813.1,2021-01-09 04:59:59.999,18872.88695900,138,55387.70000000,10280.63623400,0,0.183523,0.0030555611079162975,0.1896341222158326,0.1774118777841674
2021-01-09 07:59:59.999,2021-01-09 05:00:00,0.18607,0.18695,0.1788,0.1788,191299.9,2021-01-09 05:59:59.999,34661.83736700,216,67380.30000000,12213.11837600,0,0.18321349999999997,0.0032087992097389276,0.18963109841947784,0.1767959015805221
2021-01-09 08:59:59.999,2021-01-09 06:00:00,0.1801,0.18067,0.17756,0.17781,138912.3,2021-01-09 06:59:59.999,24812.85047000,145,113019.80000000,20177.88953900,0,0.18277899999999997,0.0033265469689818246,0.18943209393796362,0.17612590606203632
2021-01-09 09:59:59.999,2021-01-09 07:00:00,0.17763,0.17909,0.1754,0.17897,133381.2,2021-01-09 07:59:59.999,23799.26270400,175,47198.10000000,8427.62912600,0,0.18255249999999998,0.003427558399057178,0.18940761679811433,0.17569738320188563
2021-01-09 10:59:59.999,2021-01-09 08:00:00,0.17898,0.18065,0.17847,0.18056,117877.7,2021-01-09 08:59:59.999,21143.68579100,164,69275.80000000,12427.25427100,0,0.182529,0.0034401344832953747,0.18940926896659074,0.17564873103340925
2021-01-09 11:59:59.999,2021-01-09 09:00:00,0.18059,0.18348,0.17907,0.18344,115557.7,2021-01-09 09:59:59.999,20986.88596300,188,65849.50000000,11969.55585900,0,0.1826045,0.0034428652005958245,0.18949023040119164,0.17571876959880836
2021-01-09 12:59:59.999,2021-01-09 10:00:00,0.18344,0.185,0.18,0.18108,145108.3,2021-01-09 10:59:59.999,26454.69032300,193,80785.70000000,14732.11376000,0,0.1827025,0.003365485614447443,0.18943347122889487,0.1759715287711051
2021-01-09 13:59:59.999,2021-01-09 11:00:00,0.18091,0.18108,0.17746,0.18098,163957.3,2021-01-09 11:59:59.999,29344.08270200,271,63164.00000000,11330.60041500,0,0.182749,0.0033331775577636123,0.1894153551155272,0.17608264488447278
2021-01-09 14:59:59.999,2021-01-09 12:00:00,0.18097,0.1855,0.1798,0.18535,294166.1,2021-01-09 12:59:59.999,53692.38103900,355,179999.70000000,32818.22807100,0,0.1827385,0.00332417504605912,0.18938685009211823,0.17609014990788177
2021-01-09 15:59:59.999,2021-01-09 13:00:00,0.18532,0.18804,0.18332,0.18332,324058.5,2021-01-09 13:59:59.999,60140.67801300,395,129901.10000000,24121.11560800,0,0.18266500000000002,0.003292528223912925,0.18925005644782586,0.17607994355217418
2021-01-09 16:59:59.999,2021-01-09 14:00:00,0.18332,0.18723,0.1828,0.1859,146417.3,2021-01-09 14:59:59.999,27099.13759100,208,74854.50000000,13863.76591200,0,0.1827085,0.003330941505909331,0.18937038301181866,0.17604661698818133
2021-01-09 17:59:59.999,2021-01-09 15:00:00,0.1857,0.18662,0.18332,0.18453,127603.0,2021-01-09 15:59:59.999,23615.51444100,222,36705.10000000,6798.44250500,0,0.1828215,0.003353540587749649,0.18952858117549928,0.1761144188245007
2021-01-09 18:59:59.999,2021-01-09 16:00:00,0.18453,0.1858,0.18282,0.18282,140324.5,2021-01-09 16:59:59.999,25739.66584400,109,19907.20000000,3654.67896400,0,0.1826625,0.0032692343784214485,0.1892009687568429,0.17612403124315712
2021-01-09 19:59:59.999,2021-01-09 17:00:00,0.18282,0.1848,0.18133,0.18464,71786.6,2021-01-09 17:59:59.999,13091.51833600,107,37407.70000000,6821.53193200,0,0.182615,0.003231140421128842,0.1890772808422577,0.1761527191577423
2021-01-09 20:59:59.999,2021-01-09 18:00:00,0.1845,0.18586,0.18409,0.18481,61494.1,2021-01-09 18:59:59.999,11375.84738700,141,31387.00000000,5808.34350700,0,0.182746,0.0032659268048651807,0.18927785360973035,0.17621414639026964
2021-01-09 21:59:59.999,2021-01-09 19:00:00,0.1848,0.18773,0.18477,0.18661,135888.4,2021-01-09 19:59:59.999,25344.06727300,285,41809.10000000,7805.71439400,0,0.1824935,0.0026838234215191517,0.1878611468430383,0.1771258531569617
2021-01-09 22:59:59.999,2021-01-09 20:00:00,0.1859,0.18721,0.1835,0.18531,108569.8,2021-01-09 20:59:59.999,20070.21039800,247,48615.20000000,9005.35759800,0,0.18269549999999998,0.0027383715387453477,0.18817224307749067,0.1772187569225093
2021-01-09 23:59:59.999,2021-01-09 21:00:00,0.18656,0.18946,0.18538,0.188,168776.8,2021-01-09 21:59:59.999,31706.36896200,356,100747.40000000,18946.41570500,0,0.1831315,0.002857539012949145,0.1888465780258983,0.1774164219741017
2021-01-10 00:59:59.999,2021-01-09 22:00:00,0.18775,0.19043,0.18774,0.18807,189542.6,2021-01-09 22:59:59.999,35799.80503100,375,124851.70000000,23604.69335500,0,0.18349900000000002,0.0030001524522667478,0.1894993049045335,0.17749869509546654
2021-01-10 01:59:59.999,2021-01-09 23:00:00,0.18824,0.18831,0.1793,0.18276,393651.7,2021-01-09 23:59:59.999,72484.45974700,404,125440.70000000,23262.27284900,0,0.1834945,0.0030012444348794408,0.18949698886975888,0.17749201113024113
2021-01-10 02:59:59.999,2021-01-10 00:00:00,0.18301,0.18807,0.18224,0.18779,157221.0,2021-01-10 00:59:59.999,29134.54872700,246,61649.70000000,11482.47587800,0,0.1835775,0.003099317199846322,0.18977613439969265,0.17737886560030736
2021-01-10 03:59:59.999,2021-01-10 01:00:00,0.18737,0.18931,0.18632,0.18716,56084.6,2021-01-10 01:59:59.999,10522.96905300,117,15730.40000000,2952.83752300,0,0.1839955,0.0029826241977934887,0.189960748395587,0.17803025160441302
2021-01-10 04:59:59.999,2021-01-10 02:00:00,0.18716,0.19242,0.18696,0.19226,334741.5,2021-01-10 02:59:59.999,63756.91370000,365,179487.00000000,34233.17045200,0,0.184718,0.0031508254557546835,0.19101965091150935,0.17841634908849063
2021-01-10 05:59:59.999,2021-01-10 03:00:00,0.19103,0.19235,0.19,0.19073,146519.8,2021-01-10 03:59:59.999,27995.84589800,252,65380.00000000,12497.31875500,0,0.18530600000000003,0.0031188398652805703,0.19154367973056116,0.1790683202694389
2021-01-10 06:59:59.999,2021-01-10 04:00:00,0.19073,0.19195,0.19,0.19083,45348.6,2021-01-10 04:59:59.999,8648.17263200,70,24183.60000000,4621.59144600,0,0.18581949999999997,0.0031416765135496806,0.19210285302709934,0.1795361469729006
2021-01-10 07:59:59.999,2021-01-10 05:00:00,0.19084,0.2,0.19039,0.19801,644857.2,2021-01-10 05:59:59.999,126562.36022500,829,333382.20000000,65349.81284100,0,0.186548,0.004103044569200086,0.19475408913840017,0.1783419108615998
2021-01-10 08:59:59.999,2021-01-10 06:00:00,0.198,0.20012,0.19668,0.19788,212443.5,2021-01-10 06:59:59.999,42190.12724000,386,110844.00000000,22053.94049300,0,0.187388,0.004612726788034692,0.19661345357606938,0.17816254642393062
2021-01-10 09:59:59.999,2021-01-10 07:00:00,0.19737,0.20803,0.195,0.204,1025332.9,2021-01-10 07:59:59.999,207502.08164300,1018,520055.30000000,105310.22921800,0,0.188539,0.0056785273294736515,0.1998960546589473,0.17718194534105272
2021-01-10 10:59:59.999,2021-01-10 08:00:00,0.20312,0.20804,0.19756,0.20073,932493.2,2021-01-10 08:59:59.999,190475.19899400,1233,477107.20000000,97558.87445800,0,0.189308,0.006237793638273427,0.20178358727654686,0.17683241272345315
2021-01-10 11:59:59.999,2021-01-10 09:00:00,0.20073,0.20948,0.2,0.208,1512428.1,2021-01-10 09:59:59.999,312635.80132100,1765,807720.10000000,167070.69669100,0,0.190542,0.0073354615253216305,0.20521292305064326,0.17587107694935672
2021-01-10 12:59:59.999,2021-01-10 10:00:00,0.20799,0.2092,0.19779,0.203,882043.8,2021-01-10 10:59:59.999,179636.01236000,1455,447103.40000000,91015.05723200,0,0.19139699999999998,0.007750735177354081,0.20689847035470815,0.17589552964529181
