,open,high,low,close
2020-02-18 01:59:59.999,258.89,268.77,242.0,267.85
2020-02-19 01:59:59.999,267.9,285.88,258.0,282.61
2020-02-20 01:59:59.999,282.64,285.0,251.56,258.45
2020-02-21 01:59:59.999,258.44,264.33,245.34,256.96
2020-02-22 01:59:59.999,256.97,268.24,253.61,265.27
2020-02-23 01:59:59.999,265.32,266.81,256.0,261.57
2020-02-24 01:59:59.999,261.55,275.68,261.02,274.48
2020-02-25 01:59:59.999,274.5,277.2,257.09,265.52
2020-02-26 01:59:59.999,265.47,266.22,244.44,246.67
2020-02-27 01:59:59.999,246.67,250.32,215.66,223.93
2020-02-28 01:59:59.999,223.98,238.3,210.0,227.79
2020-02-29 01:59:59.999,227.73,234.67,214.01,226.76
2020-03-01 01:59:59.999,226.76,233.0,217.0,217.21
2020-03-02 01:59:59.999,217.29,227.89,212.36,217.81
2020-03-03 01:59:59.999,217.81,234.4,216.07,231.97
2020-03-04 01:59:59.999,232.1,232.46,219.57,223.91
2020-03-05 01:59:59.999,223.84,228.85,220.23,224.26
2020-03-06 01:59:59.999,224.26,234.09,224.23,228.38
2020-03-07 01:59:59.999,228.38,245.16,227.33,244.88
2020-03-08 01:59:59.999,244.93,251.93,236.0,237.23
2020-03-09 01:59:59.999,237.23,237.23,195.5,199.43
2020-03-10 01:59:59.999,199.43,208.62,190.0,202.81
2020-03-11 01:59:59.999,202.79,206.2,195.54,200.7
2020-03-12 01:59:59.999,200.74,203.18,181.73,194.61
2020-03-13 01:59:59.999,194.61,195.55,101.2,107.82
2020-03-14 01:59:59.999,107.67,139.68,86.0,134.06
2020-03-15 01:59:59.999,134.06,134.68,120.0,122.54
2020-03-16 01:59:59.999,122.54,133.5,120.16,123.78
2020-03-17 01:59:59.999,123.82,124.33,101.1,111.02
2020-03-18 01:59:59.999,111.02,120.8,109.38,115.67
2020-03-19 01:59:59.999,115.67,118.5,109.86,118.11
2020-03-20 01:59:59.999,118.11,143.13,115.46,136.3
2020-03-21 01:59:59.999,136.3,152.55,116.74,133.48
2020-03-22 01:59:59.999,133.49,137.49,125.69,132.66
2020-03-23 01:59:59.999,132.63,137.13,121.1,122.32
2020-03-24 01:59:59.999,122.31,137.5,119.5,135.92
2020-03-25 01:59:59.999,135.89,143.36,132.2,138.42
2020-03-26 01:59:59.999,138.42,142.33,132.54,136.1
2020-03-27 01:59:59.999,136.11,139.74,133.26,138.4
2020-03-28 01:59:59.999,138.4,141.27,129.68,131.33
2020-03-29 01:59:59.999,131.33,132.97,124.88,130.98
2020-03-30 02:59:59.999,130.94,131.84,123.81,124.5
2020-03-31 02:59:59.999,124.47,135.42,124.06,132.06
2020-04-01 02:59:59.999,132.09,135.0,130.38,132.72
2020-04-02 02:59:59.999,132.72,136.99,128.62,135.69
2020-04-03 02:59:59.999,135.65,149.76,135.01,141.28
2020-04-04 02:59:59.999,141.27,146.72,137.26,141.31
2020-04-05 02:59:59.999,141.3,146.28,138.88,144.1
2020-04-06 02:59:59.999,144.1,145.58,140.68,142.68
2020-04-07 02:59:59.999,142.69,172.0,142.6,171.32
2020-04-08 02:59:59.999,171.32,176.22,162.22,164.63
2020-04-09 02:59:59.999,164.62,174.48,163.59,173.11
2020-04-10 02:59:59.999,173.15,173.38,165.19,169.52
2020-04-11 02:59:59.999,169.56,170.1,152.11,157.81
2020-04-12 02:59:59.999,157.81,161.37,153.91,158.33
2020-04-13 02:59:59.999,158.33,164.78,155.0,158.59
2020-04-14 02:59:59.999,158.56,158.97,150.0,156.29
2020-04-15 02:59:59.999,156.28,161.85,155.23,158.45
2020-04-16 02:59:59.999,158.46,161.29,152.0,152.73
2020-04-17 02:59:59.999,152.74,174.79,148.33,172.29
2020-04-18 02:59:59.999,172.31,174.96,168.31,170.69
2020-04-19 02:59:59.999,170.61,189.54,170.48,187.4
2020-04-20 02:59:59.999,187.4,188.35,175.75,180.03
2020-04-21 02:59:59.999,180.02,186.46,166.7,170.2
2020-04-22 02:59:59.999,170.21,174.7,168.0,170.74
2020-04-23 02:59:59.999,170.73,184.0,169.78,182.7
2020-04-24 02:59:59.999,182.7,193.63,178.16,185.51
2020-04-25 02:59:59.999,185.57,189.8,184.72,187.59
2020-04-26 02:59:59.999,187.6,198.36,185.76,194.21
2020-04-27 02:59:59.999,194.21,200.0,192.3,197.38
2020-04-28 02:59:59.999,197.39,199.05,189.29,196.34
2020-04-29 02:59:59.999,196.33,198.5,192.36,196.24
2020-04-30 02:59:59.999,196.24,218.77,196.22,215.36
2020-05-01 02:59:59.999,215.4,227.3,202.0,206.08
2020-05-02 02:59:59.999,206.07,217.14,205.91,212.02
2020-05-03 02:59:59.999,212.01,215.37,210.36,213.9
2020-05-04 02:59:59.999,213.89,219.3,203.92,209.86
2020-05-05 02:59:59.999,209.86,210.65,194.88,206.48
2020-05-06 02:59:59.999,206.47,211.68,201.0,205.29
2020-05-07 02:59:59.999,205.3,210.77,197.71,198.97
2020-05-08 02:59:59.999,198.92,215.1,196.43,212.0
2020-05-09 02:59:59.999,212.01,216.61,206.9,211.31
2020-05-10 02:59:59.999,211.32,214.6,208.4,210.07
2020-05-11 02:59:59.999,210.09,210.18,179.59,187.54
2020-05-12 02:59:59.999,187.62,193.5,176.0,185.73
2020-05-13 02:59:59.999,185.8,192.24,185.48,189.76
2020-05-14 02:59:59.999,189.77,201.0,188.35,199.58
2020-05-15 02:59:59.999,199.61,206.02,195.67,203.29
2020-05-16 02:59:59.999,203.29,204.08,191.66,194.86
2020-05-17 02:59:59.999,194.87,203.5,193.21,200.45
2020-05-18 02:59:59.999,200.44,209.85,199.68,207.0
2020-05-19 02:59:59.999,207.02,217.07,207.0,214.91
2020-05-20 02:59:59.999,214.92,215.95,209.45,214.58
2020-05-21 02:59:59.999,214.6,215.75,204.27,209.98
2020-05-22 02:59:59.999,209.99,211.64,191.71,198.74
2020-05-23 02:59:59.999,198.72,209.19,196.24,207.36
2020-05-24 02:59:59.999,207.36,211.2,204.55,206.6
2020-05-25 02:59:59.999,206.6,210.55,199.5,199.9
2020-05-26 02:59:59.999,199.9,205.67,198.01,204.15
2020-05-27 02:59:59.999,204.22,205.0,196.9,200.89
2020-05-28 02:59:59.999,200.92,208.44,200.76,208.29
2020-05-29 02:59:59.999,208.29,220.5,204.67,220.21
2020-05-30 02:59:59.999,220.24,224.79,217.57,220.67
2020-05-31 02:59:59.999,220.63,247.0,218.8,243.66
2020-06-01 02:59:59.999,243.71,245.39,229.58,231.57
2020-06-02 02:59:59.999,231.56,250.68,230.66,248.23
2020-06-03 02:59:59.999,248.23,253.8,225.0,237.71
2020-06-04 02:59:59.999,237.71,245.0,232.71,244.52
2020-06-05 02:59:59.999,244.54,246.6,236.0,243.21
2020-06-06 02:59:59.999,243.22,247.87,239.14,240.03
2020-06-07 02:59:59.999,240.04,244.7,237.83,241.94
2020-06-08 02:59:59.999,241.94,245.37,234.6,244.56
2020-06-09 02:59:59.999,244.57,247.7,240.59,246.4
2020-06-10 02:59:59.999,246.37,249.82,238.0,243.8
2020-06-11 02:59:59.999,243.79,250.28,242.0,247.78
2020-06-12 02:59:59.999,247.78,250.09,226.2,230.51
2020-06-13 02:59:59.999,230.46,239.38,228.19,237.55
2020-06-14 02:59:59.999,237.55,238.73,234.66,238.11
2020-06-15 02:59:59.999,238.13,238.59,229.83,231.77
2020-06-16 02:59:59.999,231.74,233.55,218.27,230.86
2020-06-17 02:59:59.999,230.86,236.0,228.7,235.3
2020-06-18 02:59:59.999,235.31,237.3,227.65,233.82
2020-06-19 02:59:59.999,233.82,234.65,227.93,231.27
2020-06-20 02:59:59.999,231.26,231.95,226.74,229.0
2020-06-21 02:59:59.999,229.0,230.85,225.62,228.89
2020-06-22 02:59:59.999,228.88,231.49,227.11,228.04
2020-06-23 02:59:59.999,228.03,246.89,227.51,243.13
2020-06-24 02:59:59.999,243.11,244.87,240.75,243.14
2020-06-25 02:59:59.999,243.15,249.24,231.07,234.58
2020-06-26 02:59:59.999,234.57,235.39,227.56,232.5
2020-06-27 02:59:59.999,232.49,233.61,227.75,229.64
2020-06-28 02:59:59.999,229.66,231.42,216.0,220.94
2020-06-29 02:59:59.999,220.94,227.96,218.32,224.93
2020-06-30 02:59:59.999,224.89,229.96,221.26,227.93
2020-07-01 02:59:59.999,227.98,228.7,222.91,225.6
2020-07-02 02:59:59.999,225.59,232.71,224.16,230.99
2020-07-03 02:59:59.999,230.99,232.01,222.87,226.46
2020-07-04 02:59:59.999,226.46,228.13,223.97,224.87
2020-07-05 02:59:59.999,224.86,230.71,224.43,229.17
2020-07-06 02:59:59.999,229.24,229.85,223.05,227.56
2020-07-07 02:59:59.999,227.54,242.0,226.93,241.6
2020-07-08 02:59:59.999,241.6,243.77,234.4,239.39
2020-07-09 02:59:59.999,239.39,248.88,237.78,246.95
2020-07-10 02:59:59.999,246.94,247.9,237.88,241.98
2020-07-11 02:59:59.999,241.97,242.16,235.72,241.26
2020-07-12 02:59:59.999,241.27,241.67,237.54,239.19
2020-07-13 02:59:59.999,239.19,244.0,236.52,242.79
2020-07-14 02:59:59.999,242.76,245.33,237.33,239.5
2020-07-15 02:59:59.999,239.5,242.09,237.0,240.44
2020-07-16 02:59:59.999,240.45,241.45,236.83,238.61
2020-07-17 02:59:59.999,238.59,239.39,230.02,233.57
2020-07-18 02:59:59.999,233.58,234.84,231.65,232.67
2020-07-19 02:59:59.999,232.66,236.8,232.32,235.67
2020-07-20 02:59:59.999,235.67,239.92,233.28,239.11
2020-07-21 02:59:59.999,239.12,239.72,234.05,236.01
2020-07-22 02:59:59.999,236.0,246.66,235.57,245.59
2020-07-23 02:59:59.999,245.53,269.61,241.51,263.74
2020-07-24 02:59:59.999,263.75,279.98,259.7,275.3
2020-07-25 02:59:59.999,275.31,287.34,266.0,279.15
2020-07-26 02:59:59.999,279.15,308.94,279.09,305.26
2020-07-27 02:59:59.999,305.31,318.75,299.0,311.0
2020-07-28 02:59:59.999,311.02,333.31,310.78,321.93
2020-07-29 02:59:59.999,321.95,326.8,305.86,316.77
2020-07-30 02:59:59.999,316.77,325.0,312.38,317.71
2020-07-31 02:59:59.999,317.76,342.0,314.05,334.87
2020-08-01 02:59:59.999,334.82,349.45,328.4,346.33
2020-08-02 02:59:59.999,346.32,392.67,343.07,387.0
2020-08-03 02:59:59.999,387.01,415.85,325.0,372.42
2020-08-04 02:59:59.999,372.45,398.0,366.5,385.94
2020-08-05 02:59:59.999,385.91,402.98,380.77,389.61
2020-08-06 02:59:59.999,389.59,407.0,384.11,400.72
2020-08-07 02:59:59.999,400.72,403.66,390.51,394.77
2020-08-08 02:59:59.999,394.77,398.26,362.85,379.34
2020-08-09 02:59:59.999,379.34,397.05,375.79,397.03
2020-08-10 02:59:59.999,397.05,400.0,383.36,390.14
2020-08-11 02:59:59.999,390.14,399.18,385.13,395.44
2020-08-12 02:59:59.999,395.43,398.21,367.0,379.0
2020-08-13 02:59:59.999,378.99,389.23,365.85,387.18
2020-08-14 02:59:59.999,387.18,431.49,376.59,424.54
2020-08-15 02:59:59.999,424.54,444.71,417.05,438.11
2020-08-16 02:59:59.999,438.12,442.94,427.02,432.32
2020-08-17 02:59:59.999,432.3,436.99,412.47,433.62
2020-08-18 02:59:59.999,433.61,446.0,420.37,430.89
2020-08-19 02:59:59.999,430.89,433.81,415.0,421.95
2020-08-20 02:59:59.999,421.92,426.75,393.25,407.46
2020-08-21 02:59:59.999,407.46,418.98,402.07,415.94
2020-08-22 02:59:59.999,415.94,418.68,385.1,387.97
2020-08-23 02:59:59.999,387.93,397.04,379.92,395.24
2020-08-24 02:59:59.999,395.23,396.95,383.15,390.71
2020-08-25 02:59:59.999,390.72,410.42,387.44,407.68
2020-08-26 02:59:59.999,407.68,409.06,370.0,382.93
2020-08-27 02:59:59.999,382.91,392.91,377.37,385.81
2020-08-28 02:59:59.999,385.81,397.1,371.48,383.27
2020-08-29 02:59:59.999,383.31,398.0,379.75,395.11
2020-08-30 02:59:59.999,395.1,405.69,391.88,398.65
2020-08-31 02:59:59.999,398.65,429.89,398.3,428.94
2020-09-01 02:59:59.999,428.94,439.0,418.04,433.79
2020-09-02 02:59:59.999,433.8,488.84,429.03,475.4
2020-09-03 02:59:59.999,475.4,481.39,420.0,439.5
2020-09-04 02:59:59.999,439.5,450.7,372.0,381.4
2020-09-05 02:59:59.999,381.35,400.21,357.0,385.26
2020-09-06 02:59:59.999,385.3,395.0,308.42,335.01
2020-09-07 02:59:59.999,335.04,360.0,316.1,352.8
2020-09-08 02:59:59.999,352.85,358.51,323.0,353.59
2020-09-09 02:59:59.999,353.59,356.58,325.38,337.39
2020-09-10 02:59:59.999,337.41,359.0,330.51,350.85
2020-09-11 02:59:59.999,350.85,377.25,349.91,367.93
2020-09-12 02:59:59.999,367.93,375.27,355.49,373.63
2020-09-13 02:59:59.999,373.62,388.57,364.73,387.78
2020-09-14 02:59:59.999,387.78,390.43,350.0,366.42
2020-09-15 02:59:59.999,366.43,384.64,355.73,377.12
2020-09-16 02:59:59.999,377.12,382.47,362.34,364.06
2020-09-17 02:59:59.999,364.05,373.45,355.0,365.11
2020-09-18 02:59:59.999,365.04,394.14,363.3,389.36
2020-09-19 02:59:59.999,389.35,392.58,375.33,384.39
2020-09-20 02:59:59.999,384.4,388.72,377.0,385.25
2020-09-21 02:59:59.999,385.25,385.45,365.0,371.04
2020-09-22 02:59:59.999,371.04,376.8,331.0,340.36
2020-09-23 02:59:59.999,340.31,346.91,335.34,344.21
2020-09-24 02:59:59.999,344.18,344.65,313.29,320.72
2020-09-25 02:59:59.999,320.72,353.1,316.67,348.97
2020-09-26 02:59:59.999,348.97,358.0,337.58,351.92
2020-09-27 02:59:59.999,351.93,356.4,345.88,353.92
2020-09-28 02:59:59.999,353.95,362.14,347.24,357.49
2020-09-29 02:59:59.999,357.58,368.2,351.7,353.96
2020-09-30 02:59:59.999,353.91,360.63,350.45,359.79
2020-10-01 02:59:59.999,359.78,361.5,351.56,359.83
2020-10-02 02:59:59.999,359.83,370.45,345.51,352.85
2020-10-03 02:59:59.999,352.83,354.55,334.24,345.6
2020-10-04 02:59:59.999,345.6,351.0,343.7,345.95
2020-10-05 02:59:59.999,345.94,354.45,343.81,352.37
2020-10-06 02:59:59.999,352.34,356.1,348.54,353.62
2020-10-07 02:59:59.999,353.63,355.1,336.8,340.75
2020-10-08 02:59:59.999,340.8,342.85,332.18,341.58
2020-10-09 02:59:59.999,341.58,353.32,334.21,350.95
2020-10-10 02:59:59.999,350.94,368.33,347.32,365.02
2020-10-11 02:59:59.999,365.01,378.4,364.71,370.52
2020-10-12 02:59:59.999,370.51,377.6,368.87,374.16
2020-10-13 02:59:59.999,374.17,394.8,365.58,386.51
2020-10-14 02:59:59.999,386.51,387.75,374.51,381.04
2020-10-15 02:59:59.999,381.05,387.41,373.13,378.69
2020-10-16 02:59:59.999,378.69,381.79,369.85,377.64
2020-10-17 02:59:59.999,377.63,379.83,361.18,365.5
2020-10-18 02:59:59.999,365.5,370.46,363.36,368.32
2020-10-19 02:59:59.999,368.31,378.64,367.1,378.11
2020-10-20 02:59:59.999,378.12,384.32,372.5,379.3
2020-10-21 02:59:59.999,379.3,380.73,365.27,368.52
2020-10-22 02:59:59.999,368.53,401.49,367.74,390.38
2020-10-23 02:59:59.999,390.31,420.73,390.21,413.98
2020-10-24 02:59:59.999,413.94,419.33,401.3,409.11
2020-10-25 02:59:59.999,409.19,416.66,407.0,412.14
2020-10-26 01:59:59.999,412.14,417.4,402.5,405.86
2020-10-27 01:59:59.999,405.85,411.11,382.3,392.52
2020-10-28 01:59:59.999,392.52,410.25,389.9,403.45
2020-10-29 01:59:59.999,403.41,409.2,380.52,388.23
2020-10-30 01:59:59.999,388.22,393.72,380.52,387.13
2020-10-31 01:59:59.999,387.12,391.97,373.29,382.49
2020-11-01 01:59:59.999,382.59,394.88,379.9,386.46
2020-11-02 01:59:59.999,386.44,398.29,384.61,396.67
2020-11-03 01:59:59.999,396.68,404.5,377.92,383.02
2020-11-04 01:59:59.999,383.01,390.0,370.23,387.88
2020-11-05 01:59:59.999,387.88,408.39,376.47,402.49
2020-11-06 01:59:59.999,402.5,420.4,396.14,416.69
2020-11-07 01:59:59.999,416.73,458.27,414.76,455.91
2020-11-08 01:59:59.999,455.91,468.28,424.14,435.21
2020-11-09 01:59:59.999,435.2,460.1,431.99,454.3
2020-11-10 01:59:59.999,454.29,459.1,433.09,444.32
2020-11-11 01:59:59.999,444.32,455.0,438.7,450.34
2020-11-12 01:59:59.999,450.34,476.25,449.28,463.09
2020-11-13 01:59:59.999,463.09,470.0,451.2,462.39
2020-11-14 01:59:59.999,462.48,478.01,457.12,476.43
2020-11-15 01:59:59.999,476.42,477.47,452.0,460.89
2020-11-16 01:59:59.999,460.9,462.89,440.19,448.08
2020-11-17 01:59:59.999,448.07,466.0,445.45,460.55
2020-11-18 01:59:59.999,460.51,484.88,459.8,482.15
2020-11-19 01:59:59.999,482.11,495.31,456.6,478.41
2020-11-20 01:59:59.999,478.43,480.75,464.86,471.25
2020-11-21 01:59:59.999,471.26,514.4,470.65,510.12
2020-11-22 01:59:59.999,510.12,553.32,502.82,552.35
2020-11-23 01:59:59.999,552.42,580.88,511.28,560.03
2020-11-24 01:59:59.999,560.03,610.85,550.12,608.58
2020-11-25 01:59:59.999,608.58,623.0,585.0,604.97
2020-11-26 01:59:59.999,604.98,606.0,553.83,569.5
2020-11-27 01:59:59.999,569.38,577.14,481.0,519.83
2020-11-28 01:59:59.999,519.83,530.62,493.72,518.68
2020-11-29 01:59:59.999,518.59,547.94,506.59,537.52
2020-11-30 01:59:59.999,537.5,576.9,530.32,576.3
2020-12-01 01:59:59.999,576.32,616.85,570.07,616.66
2020-12-02 01:59:59.999,616.65,635.7,560.0,585.26
2020-12-03 01:59:59.999,585.26,604.93,575.0,596.89
2020-12-04 01:59:59.999,596.88,623.44,585.82,615.85
2020-12-05 01:59:59.999,615.84,620.0,565.82,567.24
2020-12-06 01:59:59.999,567.24,597.11,560.88,596.8
2020-12-07 01:59:59.999,596.82,607.5,583.0,601.54
2020-12-08 01:59:59.999,601.59,603.15,584.22,591.28
2020-12-09 01:59:59.999,591.27,595.0,549.22,554.94
2020-12-10 01:59:59.999,554.92,578.08,530.43,573.09
2020-12-11 01:59:59.999,573.2,575.7,548.11,558.99
2020-12-12 01:59:59.999,558.99,560.8,535.5,544.43
2020-12-13 01:59:59.999,544.46,574.0,543.1,568.04
2020-12-14 01:59:59.999,568.09,595.0,563.22,590.7
2020-12-15 01:59:59.999,590.81,591.48,575.6,586.29
2020-12-16 01:59:59.999,586.29,597.2,578.58,588.64
2020-12-17 01:59:59.999,588.78,640.0,580.71,637.18
2020-12-18 01:59:59.999,637.18,676.25,625.76,642.7
2020-12-19 01:59:59.999,642.71,664.61,629.4,653.85
2020-12-20 01:59:59.999,653.76,669.95,645.42,658.03
2020-12-21 01:59:59.999,658.05,661.39,621.01,638.18
2020-12-22 01:59:59.999,638.1,648.0,595.9,607.58
2020-12-23 01:59:59.999,607.68,637.73,588.0,636.45
2020-12-24 01:59:59.999,636.41,638.44,551.28,585.56
2020-12-25 01:59:59.999,585.48,615.02,565.43,612.31
2020-12-26 01:59:59.999,612.31,634.24,604.28,626.82
2020-12-27 01:59:59.999,626.78,652.91,615.26,637.44
2020-12-28 01:59:59.999,637.44,717.13,625.0,685.11
2020-12-29 01:59:59.999,685.1,748.09,681.04,730.41
2020-12-30 01:59:59.999,730.4,740.78,689.2,732.0
2020-12-31 01:59:59.999,732.0,758.74,716.62,752.17
2021-01-01 01:59:59.999,752.17,755.74,722.0,736.42
2021-01-02 01:59:59.999,736.42,749.0,714.29,728.91
2021-01-03 01:59:59.999,728.91,787.69,714.91,774.56
2021-01-04 01:59:59.999,774.44,1011.07,768.71,978.28
2021-01-05 01:59:59.999,978.33,1162.97,890.0,1041.43
2021-01-06 01:59:59.999,1041.45,1134.6,974.45,1099.56
2021-01-07 01:59:59.999,1100.16,1213.0,1057.26,1208.42
2021-01-08 01:59:59.999,1208.75,1289.0,1131.0,1224.87
2021-01-09 01:59:59.999,1224.86,1273.75,1065.0,1216.93
2021-01-10 01:59:59.999,1216.72,1304.37,1171.36,1276.0
2021-01-11 01:59:59.999,1276.0,1348.33,1170.0,1254.25
2021-01-12 01:59:59.999,1254.24,1260.0,915.0,1087.01
2021-01-13 01:59:59.999,1087.0,1150.02,1006.33,1050.16
2021-01-14 01:59:59.999,1050.36,1137.65,987.48,1129.89
2021-01-15 01:59:59.999,1129.79,1247.55,1086.7,1231.62
2021-01-16 01:59:59.999,1231.89,1256.98,1069.42,1168.53
2021-01-17 01:59:59.999,1168.48,1298.0,1151.77,1227.83
2021-01-18 01:59:59.999,1227.83,1269.02,1165.0,1232.45
2021-01-19 01:59:59.999,1232.5,1260.75,1182.58,1258.45
2021-01-20 01:59:59.999,1258.52,1438.3,1251.49,1365.36
2021-01-21 01:59:59.999,1365.36,1407.93,1235.42,1376.99
2021-01-22 01:59:59.999,1376.72,1390.0,1086.0,1110.96
2021-01-23 01:59:59.999,1111.98,1273.79,1042.31,1232.62
2021-01-24 01:59:59.999,1232.61,1272.44,1195.9,1233.6
2021-01-25 01:59:59.999,1233.46,1398.83,1220.0,1392.51
2021-01-26 01:59:59.999,1392.19,1475.0,1293.69,1317.88
2021-01-27 01:59:59.999,1317.6,1378.49,1244.56,1365.97
2021-01-28 01:59:59.999,1366.54,1373.9,1207.0,1239.03
2021-01-29 01:59:59.999,1238.93,1360.0,1217.23,1329.69
2021-01-30 01:59:59.999,1329.44,1436.9,1285.35,1379.5
2021-01-31 01:59:59.999,1379.56,1406.0,1326.41,1378.05
2021-02-01 01:59:59.999,1378.04,1380.74,1281.12,1312.55
2021-02-02 01:59:59.999,1312.45,1377.99,1269.99,1374.17
2021-02-03 01:59:59.999,1374.09,1547.9,1360.28,1511.87
2021-02-04 01:59:59.999,1511.93,1669.35,1508.39,1664.49
2021-02-05 01:59:59.999,1664.67,1695.2,1554.44,1595.67
2021-02-06 01:59:59.999,1595.53,1760.49,1591.0,1719.19
2021-02-07 01:59:59.999,1718.95,1743.67,1642.94,1676.35
2021-02-08 01:59:59.999,1676.35,1693.0,1490.46,1611.62
2021-02-09 01:59:59.999,1611.46,1775.57,1563.89,1750.15
2021-02-10 01:59:59.999,1749.68,1821.88,1708.49,1769.13
2021-02-11 01:59:59.999,1769.14,1837.86,1680.0,1740.78
2021-02-12 01:59:59.999,1740.76,1819.0,1703.44,1785.62
2021-02-13 01:59:59.999,1785.83,1864.88,1739.88,1840.26
2021-02-14 01:59:59.999,1840.24,1871.72,1765.0,1814.96
2021-02-15 01:59:59.999,1815.25,1850.0,1784.11,1800.42
2021-02-16 01:59:59.999,1800.03,1835.72,1655.67,1779.25
2021-02-17 01:59:59.999,1779.33,1827.28,1724.0,1781.99
2021-02-18 01:59:59.999,1781.99,1855.0,1733.01,1849.88
2021-02-19 01:59:59.999,1849.7,1950.5,1849.69,1939.61
2021-02-20 01:59:59.999,1938.91,1972.82,1891.0,1955.0
2021-02-21 01:59:59.999,1955.46,2042.34,1803.14,1913.0
2021-02-22 01:59:59.999,1912.9,1976.31,1883.01,1933.53
2021-02-23 01:59:59.999,1933.54,1936.29,1551.0,1777.58
2021-02-24 01:59:59.999,1777.42,1782.39,1355.0,1577.89
2021-02-25 01:59:59.999,1577.79,1712.7,1500.2,1623.39
2021-02-26 01:59:59.999,1623.16,1671.59,1459.16,1481.75
2021-02-27 01:59:59.999,1482.08,1562.25,1400.0,1444.59
2021-02-28 01:59:59.999,1444.56,1529.0,1425.0,1458.13
2021-03-01 01:59:59.999,1458.27,1468.75,1293.18,1419.18
2021-03-02 01:59:59.999,1418.67,1572.0,1409.91,1569.86
2021-03-03 01:59:59.999,1570.0,1602.9,1455.52,1486.78
2021-03-04 01:59:59.999,1486.79,1656.94,1475.47,1567.69
2021-03-05 01:59:59.999,1567.68,1624.87,1506.36,1539.23
2021-03-06 01:59:59.999,1539.22,1548.96,1441.66,1528.31
2021-03-07 01:59:59.999,1528.08,1671.58,1513.03,1650.35
2021-03-08 01:59:59.999,1650.68,1734.16,1630.35,1726.16
2021-03-09 01:59:59.999,1726.46,1843.59,1664.96,1833.18
2021-03-10 01:59:59.999,1833.22,1870.77,1798.2,1870.51
2021-03-11 01:59:59.999,1870.5,1877.69,1757.0,1795.12
2021-03-12 01:59:59.999,1795.28,1846.7,1725.0,1825.78
2021-03-13 01:59:59.999,1825.78,1841.88,1719.72,1766.1
2021-03-14 01:59:59.999,1766.13,1944.3,1727.75,1922.35
2021-03-15 01:59:59.999,1922.35,1933.1,1836.0,1848.1
2021-03-16 01:59:59.999,1848.1,1891.76,1730.0,1793.48
