,open_time,close_time,open,high,low,close,volume,num_trades,MA_20,STD_20,Price_Change,Price_Change%,Change,bollinger_up,bollinger_down,above_bound,below_bound,cross_bounds
2021-05-01 02:59:59.999,2021-04-30 00:00:00.000,2021-04-30 23:59:59.999,64.197,71.5,63.497,69.677,68622.105,24883,70.52459999999999,8.1846332933962,5.33,8.29,Increase,86.0462665867924,53.30773341320761,False,False,neutral
2021-05-02 02:59:59.999,2021-05-01 00:00:00.000,2021-05-01 23:59:59.999,69.523,72.409,66.751,68.649,47481.815,20541,70.32905000000001,8.18016357753708,-1.03,-1.48,Neutral,85.00932715507416,52.28867284492584,False,False,neutral
2021-05-03 02:59:59.999,2021-05-02 00:00:00.000,2021-05-02 23:59:59.999,68.578,68.69,65.1,66.361,27073.677,11232,69.86229999999999,8.123943183739817,-2.29,-3.33,Neutral,82.60888636747964,50.11311363252037,False,False,neutral
2021-05-04 02:59:59.999,2021-05-03 00:00:00.000,2021-05-03 23:59:59.999,66.198,78.464,65.31,71.889,103410.069,43017,69.809,8.106061753891083,5.53,8.33,Increase,88.10112350778216,55.67687649221783,False,False,neutral
2021-05-05 02:59:59.999,2021-05-04 00:00:00.000,2021-05-04 23:59:59.999,71.905,72.6,65.145,65.203,59621.637,22969,69.4687,8.151576083317035,-6.69,-9.3,Decrease,81.50615216663408,48.89984783336593,False,False,neutral
2021-05-06 02:59:59.999,2021-05-05 00:00:00.000,2021-05-05 23:59:59.999,65.186,69.8,63.259,68.341,108911.106,39943,69.14635,8.057080000484763,3.14,4.81,Neutral,84.45516000096953,52.22683999903047,False,False,neutral
2021-05-07 02:59:59.999,2021-05-06 00:00:00.000,2021-05-06 23:59:59.999,68.378,71.992,66.991,68.766,61901.374,27128,68.8741,7.968443715847694,0.43,0.62,Neutral,84.70288743169539,52.829112568304616,False,False,neutral
2021-05-08 02:59:59.999,2021-05-07 00:00:00.000,2021-05-07 23:59:59.999,68.768,70.922,65.7,68.099,36054.755,16833,67.8391,6.44245968800581,-0.67,-0.97,Neutral,80.98391937601163,55.21408062398838,False,False,neutral
2021-05-09 02:59:59.999,2021-05-08 00:00:00.000,2021-05-08 23:59:59.999,68.099,69.58,65.599,66.01,43271.588,15043,67.47045,6.318282465445721,-2.09,-3.07,Neutral,78.64656493089144,53.37343506910857,False,False,neutral
2021-05-10 02:59:59.999,2021-05-09 00:00:00.000,2021-05-09 23:59:59.999,66.01,67.191,63.848,66.971,21225.236,10463,66.59004999999999,4.869551243508876,0.96,1.46,Neutral,76.71010248701775,57.23189751298225,False,False,neutral
2021-05-11 02:59:59.999,2021-05-10 00:00:00.000,2021-05-10 23:59:59.999,67.113,68.172,59.0,59.715,47194.87,15403,65.6498,4.216504296714452,-7.26,-10.83,Decrease,68.14800859342891,51.2819914065711,True,False,above
2021-05-12 02:59:59.999,2021-05-11 00:00:00.000,2021-05-11 23:59:59.999,59.743,66.145,57.047,65.37,41400.474,16641,65.3918,4.057027153756391,5.66,9.47,Increase,73.48405430751279,57.255945692487224,False,True,below
2021-05-13 02:59:59.999,2021-05-12 00:00:00.000,2021-05-12 23:59:59.999,65.37,72.89,57.942,58.288,105734.844,32214,65.0062,4.35195199518813,-7.08,-10.83,Decrease,66.99190399037626,49.584096009623735,True,False,above
2021-05-14 02:59:59.999,2021-05-13 00:00:00.000,2021-05-13 23:59:59.999,58.188,61.658,53.346,55.769,53552.623,18319,64.6692,4.794013334632317,-2.52,-4.32,Neutral,65.35702666926463,46.18097333073536,False,False,neutral
2021-05-15 02:59:59.999,2021-05-14 00:00:00.000,2021-05-14 23:59:59.999,55.825,61.0,55.496,58.267,23317.703,10001,64.7048,4.7407510464283416,2.5,4.48,Neutral,67.74850209285668,48.78549790714332,False,False,neutral
2021-05-16 02:59:59.999,2021-05-15 00:00:00.000,2021-05-15 23:59:59.999,58.399,58.768,54.127,54.381,19160.229,8535,64.6557,4.846502223253476,-3.89,-6.67,Decrease,64.07400444650695,44.687995553493046,False,False,neutral
2021-05-17 02:59:59.999,2021-05-16 00:00:00.000,2021-05-16 23:59:59.999,54.288,97.7,54.183,76.2,1904697.699,372674,65.26955000000001,5.484335918874183,21.82,40.12,Increase,87.16867183774836,65.23132816225164,True,True,above
2021-05-18 02:59:59.999,2021-05-17 00:00:00.000,2021-05-17 23:59:59.999,76.047,88.998,63.01,66.793,887161.016,253454,65.23910000000001,5.473553073884684,-9.41,-12.35,Decrease,77.74010614776938,55.84589385223064,True,False,above
2021-05-19 02:59:59.999,2021-05-18 00:00:00.000,2021-05-18 23:59:59.999,66.798,72.891,60.0,61.958,239173.27,72544,65.0526,5.52079486458635,-4.84,-7.24,Decrease,72.9995897291727,50.9164102708273,False,False,neutral
2021-05-20 02:59:59.999,2021-05-19 00:00:00.000,2021-05-19 23:59:59.999,61.837,62.633,38.0,40.511,169051.812,40309,63.8609,7.788286744241461,-21.45,-34.62,Decrease,56.087573488482924,24.93442651151708,True,False,above
2021-05-21 02:59:59.999,2021-05-20 00:00:00.000,2021-05-20 23:59:59.999,40.554,51.1,36.649,48.635,88822.813,20631,62.808800000000005,8.361419928520132,8.12,20.05,Increase,65.35783985704026,31.912160142959735,False,False,neutral
2021-05-22 02:59:59.999,2021-05-21 00:00:00.000,2021-05-21 23:59:59.999,48.576,52.874,37.5,40.392,87974.333,19960,61.39594999999999,9.615873950893631,-8.24,-16.95,Decrease,59.62374790178727,21.16025209821274,False,False,neutral
2021-05-23 02:59:59.999,2021-05-22 00:00:00.000,2021-05-22 23:59:59.999,40.435,41.228,35.204,37.914,63726.117,13241,59.9736,10.865503763843916,-2.48,-6.13,Decrease,59.64500752768784,16.18299247231217,False,False,neutral
2021-05-24 02:59:59.999,2021-05-23 00:00:00.000,2021-05-23 23:59:59.999,37.93,43.559,27.969,34.332,212839.132,48343,58.095749999999995,11.894520520302441,-3.58,-9.45,Decrease,58.12104104060488,10.542958959395119,False,False,neutral
2021-05-25 02:59:59.999,2021-05-24 00:00:00.000,2021-05-24 23:59:59.999,34.322,42.222,33.009,40.323,81966.789,22923,56.85175,12.402291107843153,5.99,17.45,Increase,65.1275822156863,15.518417784313694,False,False,neutral
2021-05-26 02:59:59.999,2021-05-25 00:00:00.000,2021-05-25 23:59:59.999,40.467,42.853,38.273,42.513,53380.959,16619,55.56035000000001,12.4873879038223,2.19,5.43,Increase,67.4877758076446,17.538224192355397,False,False,neutral
2021-05-27 02:59:59.999,2021-05-26 00:00:00.000,2021-05-26 23:59:59.999,42.524,60.692,41.066,53.183,456603.677,64224,54.7812,12.100203093554438,10.67,25.1,Increase,77.38340618710887,28.982593812891125,False,False,neutral
2021-05-28 02:59:59.999,2021-05-27 00:00:00.000,2021-05-27 23:59:59.999,53.247,54.325,45.087,47.723,829221.209,88775,53.7624,11.77324957332472,-5.46,-10.27,Decrease,71.26949914664944,24.176500853350557,False,False,neutral
2021-05-29 02:59:59.999,2021-05-28 00:00:00.000,2021-05-28 23:59:59.999,47.736,49.041,39.52,40.542,50893.721,12206,52.489,11.756124997097032,-7.18,-15.05,Decrease,64.05424999419407,17.029750005805937,False,False,neutral
