,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore,MA_20,MA_20_std
2021-01-08 20:59:59.999,2021-01-08 18:00:00,27.302,27.432,26.708,27.015,835.392,2021-01-08 18:59:59.999,22629.32242500,455,384.68200000,10438.25825500,0,27.3516,0.5249412398194283
2021-01-08 21:59:59.999,2021-01-08 19:00:00,27.107,27.107,26.8,26.924,88.099,2021-01-08 19:59:59.999,2374.37344400,47,35.61600000,959.45685000,0,27.2774,0.4697396143217632
2021-01-08 22:59:59.999,2021-01-08 20:00:00,26.995,27.092,26.503,26.804,459.253,2021-01-08 20:59:59.999,12300.65778300,258,271.11200000,7268.60767900,0,27.227549999999997,0.4641177794029187
2021-01-08 23:59:59.999,2021-01-08 21:00:00,26.772,26.879,26.439,26.558,441.201,2021-01-08 21:59:59.999,11718.41477800,198,121.91000000,3246.38680200,0,27.114449999999998,0.30342509263755285
2021-01-09 00:59:59.999,2021-01-08 22:00:00,26.487,26.907,26.377,26.907,494.03,2021-01-08 22:59:59.999,13180.03680500,125,151.76700000,4058.51321100,0,27.108800000000002,0.3063146988586157
2021-01-09 01:59:59.999,2021-01-08 23:00:00,26.907,27.048,26.544,26.545,460.58,2021-01-08 23:59:59.999,12352.62494000,208,275.81600000,7413.68697600,0,27.0976,0.3230319195569281
2021-01-09 02:59:59.999,2021-01-09 00:00:00,26.579,26.721,26.35,26.443,491.313,2021-01-09 00:59:59.999,13008.56661200,198,123.57100000,3275.92656200,0,27.086650000000002,0.3417446376586221
2021-01-09 03:59:59.999,2021-01-09 01:00:00,26.445,26.499,26.286,26.499,279.449,2021-01-09 01:59:59.999,7375.64667200,74,112.06900000,2960.59383100,0,27.067699999999995,0.3637244619358564
2021-01-09 04:59:59.999,2021-01-09 02:00:00,26.414,26.699,26.334,26.699,701.007,2021-01-09 02:59:59.999,18538.95064700,256,409.38100000,10841.37741100,0,27.0548,0.37233058316219014
2021-01-09 05:59:59.999,2021-01-09 03:00:00,26.699,26.8,26.642,26.776,338.69,2021-01-09 03:59:59.999,9048.07504200,124,141.23200000,3778.05308600,0,27.021800000000002,0.3659599632976865
2021-01-09 06:59:59.999,2021-01-09 04:00:00,26.849,27.5,26.771,27.481,980.309,2021-01-09 04:59:59.999,26598.43432000,302,711.01600000,19299.61529300,0,27.0375,0.3790194412455742
2021-01-09 07:59:59.999,2021-01-09 05:00:00,27.383,27.383,26.746,26.824,318.56,2021-01-09 05:59:59.999,8654.61361900,95,180.48700000,4920.40603800,0,27.024850000000004,0.3818432132088852
